"Subject" "Activity" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.meanFreq.." "angle.tBodyAccMean.gravity." "angle.tBodyAccJerkMean..gravityMean." "angle.tBodyGyroMean.gravityMean." "angle.tBodyGyroJerkMean.gravityMean." "angle.X.gravityMean." "angle.Y.gravityMean." "angle.Z.gravityMean." "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.std.." "tGravityAccMag.std.." "tBodyAccJerkMag.std.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.std.." "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyAccMag.std.." "fBodyBodyAccJerkMag.std.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroJerkMag.std.."
1 "LAYING" 0.2591151 -0.017985103 -0.12024506 -0.27793837 0.92885299 -0.29541016 0.088185566 0.0011180361 0.048807266 -0.14832746 0.005663764 0.21880248 -0.23395072 -0.048339191 -0.06989635 -0.90848825 -0.90848825 -0.96977274 -0.82800989 -0.96962031 -0.95855139 -0.96654308 -0.90532403 -0.33440304 -0.28965085 -0.47629694 -0.96225497 -0.98307298 -0.96084679 0.17125734 -0.11017066 -0.19213194 -0.77502222 -0.97669198 -0.91457516 0.12168224 -0.38738167 -0.14916419 -0.93795977 -0.39803891 -0.96587353 0.19140539 -0.86001455 -0.37817825 -0.96960276 -0.18570573 -0.019033451 0.27581955 0.0027464285 0.1078819 0.45077589 -0.77169117 0.23656311 -0.95706759 -0.94990104 -0.82490842 -0.88757542 -0.97831955 -0.87936122 -0.96555551 -0.98450439 -0.967391 -0.8431466 -0.97018675 -0.92342237 -0.9480528 -0.99145492 -0.94248683 -0.91629205 -0.91629205 -0.96807307 -0.79446652 -0.96614679 -0.95628404 -0.94461158 -0.80187989 -0.97312918 -0.98770558 -0.97298534 -0.86551679 -0.96678571 -0.93345625 -0.91750398 -0.96996372 -0.79068587 -0.96379153
1 "SITTING" 0.27559191 -0.013962574 -0.10788811 0.78596443 0.31117937 0.34783019 0.075714311 0.01259557 -0.0041654914 -0.026319791 -0.062779925 0.070667607 -0.098229525 -0.043397986 -0.054173655 -0.99731978 -0.99731978 -0.99205834 -0.99362369 -0.99839061 -0.99736234 -0.98963263 -0.9917396 0.095438292 0.58916223 0.47183626 -0.99620229 -0.98624452 -0.98942927 0.29444118 0.44357536 0.2764507 -0.9986969 -0.99635927 -0.99633256 0.36934348 0.43176993 0.13278614 -0.99572164 0.71495861 -0.99468292 0.4000663 -0.99725679 0.18450127 -0.9977988 -0.14033785 -0.078971596 0.1204378 -0.044956021 0.18634987 -0.50987777 -0.13670326 -0.23007427 -0.99796584 -0.99362312 -0.99363071 -0.99886085 -0.99530087 -0.99714231 -0.99554967 -0.98674959 -0.99104369 -0.99919396 -0.996694 -0.99604761 -0.99834032 -0.9967805 -0.99748567 -0.99705047 -0.99705047 -0.99477566 -0.99641441 -0.99746213 -0.99825588 -0.99564904 -0.99467752 -0.99513412 -0.98839799 -0.99118703 -0.99937084 -0.99687812 -0.99618327 -0.99785418 -0.99345086 -0.99619154 -0.99674436
1 "STANDING" 0.278426 -0.017091944 -0.12529627 0.92493645 -0.34470941 0.0030156153 0.077631547 0.024990621 0.001630675 -0.031458099 -0.075743179 0.078469849 -0.097907853 -0.028980934 -0.057669268 -0.98707568 -0.98707568 -0.99024882 -0.98850476 -0.99418817 -0.99230808 -0.98214212 -0.98579519 0.060927883 0.49651206 0.021445961 -0.98981061 -0.98579001 -0.98914454 0.2276809 0.22280757 -0.011769724 -0.98934407 -0.98394632 -0.99208739 -0.21821128 0.22073626 0.26716949 -0.98484535 0.1869037 -0.9873888 0.28687427 -0.9884064 0.13121626 -0.98965701 -0.10973827 -0.013436815 0.089988168 0.46428678 0.17775453 -0.67958604 0.31949771 0.01961812 -0.99415676 -0.98700963 -0.98204621 -0.99430531 -0.98558282 -0.97016513 -0.98849621 -0.98672977 -0.98935904 -0.98984221 -0.9863049 -0.99341238 -0.99254806 -0.9901391 -0.9941352 -0.98465845 -0.98465845 -0.98775153 -0.98572701 -0.98858143 -0.99506704 -0.98993371 -0.98024468 -0.98799022 -0.98902632 -0.98790839 -0.98995762 -0.98803013 -0.99447392 -0.9858527 -0.98683922 -0.98607371 -0.98753396
1 "WALKING" 0.25012584 -0.02268563 -0.064799659 0.92433486 -0.31690418 -0.12403738 0.15069881 0.048275433 -0.022914457 0.071330724 -0.14158932 -0.021050841 -0.095171388 -0.1422554 -0.076998866 -0.26994724 -0.26994724 -0.30629079 -0.29032084 -0.37752385 -0.45343632 -0.16950503 -0.42664059 -0.22986738 -0.014377234 -0.062890399 -0.38067403 -0.27930657 -0.53288611 -0.070980389 -0.41256919 -0.2895674 -0.46024147 -0.27825445 -0.42426181 -0.12286297 -0.14497867 -0.029979108 -0.30477768 0.15371077 -0.2796107 0.051576343 -0.33185305 0.19144483 -0.4804871 0.21049055 0.27085813 -0.60978207 -0.81252209 -0.21669282 -0.68104788 0.30010432 0.10723582 -0.44418133 -0.0022360513 -0.29624361 -0.98133554 -0.9537816 -0.90306472 -0.32914155 -0.12424156 -0.52616792 -0.52599284 -0.19391406 -0.48833611 -0.33620135 -0.38768923 -0.48442482 -0.33820437 -0.33820437 -0.25509464 -0.27327699 -0.44852996 -0.44047046 0.014638399 -0.28298406 -0.33451265 -0.021539521 -0.51882956 -0.54822926 -0.15157752 -0.55792423 -0.46036622 -0.22946549 -0.35754613 -0.44670987
1 "WALKING_DOWNSTAIRS" 0.20876832 0.030679246 0.037288816 0.9000755 -0.30448229 -0.1298421 0.15244736 -0.096790436 0.0097414489 0.46455458 -0.477914 -0.058608566 -0.25514129 -0.034357813 -0.14347109 0.17221839 0.17221839 -0.12112253 -0.044227367 -0.42860662 0.1057069 -0.041106221 -0.37861268 -0.51348315 -0.18418611 -0.020899249 0.02642655 -0.20460961 -0.489295 -0.19137626 -0.50126486 -0.047685258 -0.44345892 -0.28055829 -0.12979382 -0.13059937 -0.29254585 -0.1200426 0.20404638 -0.00019474337 -0.023674523 -0.059448199 -0.41381111 0.16089122 -0.56472085 0.54530335 0.32561687 -0.67552498 -0.96423822 0.66456218 -0.68423981 0.2951475 0.11301633 0.21587644 0.09203179 -0.29645563 -0.95452164 -0.91441549 -0.88138928 0.055789701 -0.12235991 -0.54412103 -0.59198486 -0.20224291 -0.15244625 -0.57930665 -0.47990177 -0.3076655 0.18444106 0.18444106 -0.017775683 -0.39998803 -0.61155419 0.25661766 0.088747053 -0.30679667 -0.0075307969 -0.090233045 -0.5981424 -0.63976335 -0.16305097 -0.23743145 -0.011067067 -0.016485591 -0.49441753 -0.71418078
1 "WALKING_UPSTAIRS" 0.22969556 -0.05216571 -0.11179085 0.9002146 -0.34601613 -0.055663886 -0.42513808 0.28540964 0.15788031 -0.25001026 0.07612211 0.090359188 0.15811947 -0.073977233 -0.15602748 -0.19233501 -0.19233501 -0.50538152 -0.20589406 -0.67013244 -0.24134953 -0.18116947 -0.45193372 -0.03407521 -0.056973364 -0.50296667 -0.36883762 -0.38016539 -0.72292721 -0.24950863 -0.36888222 -0.52716644 -0.49514635 -0.42008318 -0.4777879 0.10751963 -0.61171514 0.08310959 -0.21462969 0.02051198 -0.27552472 -0.15925916 -0.49718455 -0.29103655 -0.69082454 -0.17407947 0.1115831 0.93889357 0.96284575 -0.83677329 -0.66780836 0.32367924 0.060558758 -0.34368292 -0.17038844 -0.051609335 -0.97823368 -0.98595434 -0.89728085 -0.38084148 -0.35235467 -0.75247374 -0.65300139 -0.052249131 -0.59116617 -0.67020239 -0.68563707 -0.57956113 -0.27083037 -0.27083037 -0.29181456 -0.35456517 -0.67684454 -0.38856105 -0.21683052 0.050974006 -0.45236765 -0.36518425 -0.78086034 -0.70532017 0.10955176 -0.67352516 -0.417556 -0.31659799 -0.37466764 -0.68135533
2 "LAYING" 0.28567994 -0.021402652 -0.099788959 -0.72085621 0.71396105 0.68526411 0.059172424 0.020983328 0.003382057 -0.039082748 -0.13179261 0.079899406 -0.1007216 -0.030101192 -0.073474108 -0.99088456 -0.99088456 -0.99101218 -0.96723595 -0.99178625 -0.9876537 -0.98703306 -0.99727769 0.3216529 0.38730134 0.6217661 -0.98684333 -0.98760613 -0.99427157 0.13715023 0.094014329 0.28854815 -0.99323132 -0.97738939 -0.97203965 0.23206614 -0.26214884 0.10720148 -0.99197665 0.50459984 -0.9939209 0.29880214 -0.97713959 -0.15353401 -0.99292703 0.015555555 0.013785751 -0.34866994 0.45537746 -0.0071862295 0.76922237 -0.47454684 -0.51168069 -0.98882456 -0.99010644 -0.99850164 -0.97869812 -0.99342254 -0.98917087 -0.98741145 -0.98856702 -0.99473185 -0.99495801 -0.97124494 -0.97196367 -0.99422339 -0.99030562 -0.98924489 -0.99348713 -0.99348713 -0.99410948 -0.96612827 -0.99208639 -0.98922702 -0.99155107 -0.99868059 -0.98927593 -0.99077657 -0.99359725 -0.99547077 -0.96801689 -0.9743222 -0.99485329 -0.99300226 -0.96493965 -0.99107021
2 "SITTING" 0.26902515 -0.013122593 -0.089644011 0.93196036 -0.15305592 0.24945913 0.08332013 0.00088605569 -0.029911329 -0.030285407 -0.084314932 0.092395237 -0.088645082 -0.050740915 -0.027971426 -0.98172409 -0.98172409 -0.99043731 -0.97609828 -0.99434169 -0.9917296 -0.97933822 -0.97963247 0.066997461 0.25585538 0.1323022 -0.99147166 -0.98221705 -0.99197955 0.29575393 0.1253563 0.1502765 -0.98527667 -0.98633095 -0.96163396 -0.012725799 -0.11655205 0.065061499 -0.98049272 0.052916211 -0.99209841 0.45617561 -0.98511557 -0.092025848 -0.9954148 0.4126884 0.057871292 -0.12907843 0.15179346 -0.47073894 -0.72907031 0.18812828 -0.15294224 -0.99335359 -0.98151471 -0.9727412 -0.98604783 -0.99269125 -0.94840438 -0.99171019 -0.98302033 -0.99273278 -0.98657018 -0.98248463 -0.96132211 -0.99701425 -0.99482105 -0.9885913 -0.97809674 -0.97809674 -0.99348877 -0.98111017 -0.99605855 -0.99409321 -0.98284971 -0.96997769 -0.99275211 -0.98536269 -0.99190141 -0.98693356 -0.98038803 -0.96456794 -0.97891093 -0.99470542 -0.98140366 -0.99710792
2 "STANDING" 0.27655316 -0.014799101 -0.099806746 0.87834175 -0.40276525 0.159183 0.062294209 0.011576134 0.038942674 -0.037625407 -0.044203067 0.067053991 -0.14327557 -0.052638972 -0.085788525 -0.99153285 -0.99153285 -0.99214121 -0.97248141 -0.98805069 -0.98480277 -0.98142147 -0.98119964 0.16650479 0.14353629 0.96560914 -0.99030838 -0.98271357 -0.98692411 -0.018121485 0.21205297 0.0021371937 -0.94257946 -0.96842407 -0.95009064 0.12176009 -0.45851342 0.031997943 -0.97696766 0.20215389 -0.98350261 0.085645213 -0.92899912 -0.20034624 -0.97828577 -0.45067363 0.056285973 0.22714815 0.61687255 0.57680061 -0.58930206 0.36102147 -0.088084536 -0.98975103 -0.98237581 -0.9876677 -0.99390734 -0.99125485 -0.99351216 -0.99128161 -0.98464147 -0.98957987 -0.95747241 -0.96526481 -0.95325703 -0.98030615 -0.98257935 -0.98658537 -0.98008077 -0.98008077 -0.98513668 -0.91271755 -0.97626846 -0.9925253 -0.98291839 -0.99326742 -0.99339737 -0.98861586 -0.99098588 -0.96219253 -0.96355183 -0.95847752 -0.98439214 -0.98608092 -0.91672513 -0.97488753
2 "WALKING" 0.24934321 -0.003410981 -0.056041574 0.91317298 -0.35173678 0.024970325 0.1098415 0.24202474 0.38010598 -0.14838291 0.03197447 0.12586574 -0.029430958 -0.070613107 -0.20540482 -0.29560789 -0.29560789 -0.29461029 -0.45988777 -0.63826673 -0.34403325 -0.10515758 -0.45839022 -0.20665615 0.15124146 0.42195423 -0.28937293 -0.10048777 -0.62370188 0.016530028 -0.075070535 -0.23335289 -0.49583189 -0.58810127 -0.43173408 -0.098258435 -0.28658152 0.045034453 -0.37184739 0.3896888 -0.22482345 0.15689447 -0.63301733 0.19614713 -0.67924645 0.26741703 0.25852879 0.038297505 0.90469687 -0.42187493 -0.67000918 0.32572865 0.0044592617 -0.39947643 -0.13784483 -0.46127072 -0.96968371 -0.97254632 -0.96882462 -0.25739068 -0.097353346 -0.66325596 -0.60303438 -0.5447188 -0.48940637 -0.53420168 -0.71048562 -0.58081542 -0.43868662 -0.43868662 -0.24507369 -0.60457531 -0.6918202 -0.42272055 -0.2104984 -0.50644402 -0.28941465 -0.15896687 -0.70158381 -0.63701981 -0.52298361 -0.55641292 -0.56717287 -0.27331151 -0.65248835 -0.7316334
